Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
72,0 days 01:48:19.300000,GAS,10,0 days 00:01:17.469000,34.0,2.0,,,22.162,24.8,30.507,0 days 01:47:24.023000,0 days 01:47:48.823000,0 days 01:48:19.330000,242.0,282.0,284.0,312.0,False,HARD,4.0,True,Alpine,0 days 01:47:01.831000,2026-05-24 20:54:17.305,1,8.0,False,,False,True,77.469,77.46900000000001
73,0 days 01:49:36.689000,GAS,10,0 days 00:01:17.389000,35.0,2.0,,,22.203,24.574,30.612,0 days 01:48:41.533000,0 days 01:49:06.107000,0 days 01:49:36.719000,241.0,280.0,276.0,304.0,False,HARD,5.0,True,Alpine,0 days 01:48:19.300000,2026-05-24 20:55:34.774,1,8.0,False,,False,True,77.389,77.389
74,0 days 01:50:53.922000,GAS,10,0 days 00:01:17.233000,36.0,2.0,,,21.854,24.38,30.999,0 days 01:49:58.573000,0 days 01:50:22.953000,0 days 01:50:53.952000,242.0,282.0,282.0,306.0,False,HARD,6.0,True,Alpine,0 days 01:49:36.689000,2026-05-24 20:56:52.163,1,9.0,False,,False,True,77.233,77.23299999999999
75,0 days 01:52:10.844000,GAS,10,0 days 00:01:16.922000,37.0,2.0,,,21.962,24.589,30.371,0 days 01:51:15.914000,0 days 01:51:40.503000,0 days 01:52:10.874000,245.0,285.0,279.0,318.0,False,HARD,7.0,True,Alpine,0 days 01:50:53.922000,2026-05-24 20:58:09.396,1,9.0,False,,False,True,76.922,76.922
76,0 days 01:53:29.753000,GAS,10,0 days 00:01:18.909000,38.0,2.0,,,22.104,26.081,30.724,0 days 01:52:32.978000,0 days 01:52:59.059000,0 days 01:53:29.783000,242.0,279.0,267.0,303.0,False,HARD,8.0,True,Alpine,0 days 01:52:10.844000,2026-05-24 20:59:26.318,1,9.0,False,,False,True,78.909,78.909
77,0 days 01:54:46.588000,GAS,10,0 days 00:01:16.835000,39.0,2.0,,,21.931,24.254,30.65,0 days 01:53:51.714000,0 days 01:54:15.968000,0 days 01:54:46.618000,242.0,281.0,268.0,303.0,True,HARD,9.0,True,Alpine,0 days 01:53:29.753000,2026-05-24 21:00:45.227,12,8.0,False,,False,True,76.835,76.83500000000001
78,0 days 01:56:03.173000,GAS,10,0 days 00:01:16.585000,40.0,2.0,,,21.767,24.26,30.558,0 days 01:55:08.385000,0 days 01:55:32.645000,0 days 01:56:03.203000,241.0,279.0,272.0,304.0,True,HARD,10.0,True,Alpine,0 days 01:54:46.588000,2026-05-24 21:02:02.062,1,8.0,False,,False,True,76.585,76.58500000000001
79,0 days 01:57:19.568000,GAS,10,0 days 00:01:16.395000,41.0,2.0,,,21.623,24.312,30.46,0 days 01:56:24.826000,0 days 01:56:49.138000,0 days 01:57:19.598000,244.0,280.0,271.0,302.0,True,HARD,11.0,True,Alpine,0 days 01:56:03.173000,2026-05-24 21:03:18.647,1,8.0,False,,False,True,76.395,76.39500000000001
80,0 days 01:58:35.813000,GAS,10,0 days 00:01:16.245000,42.0,2.0,,,21.68,24.132,30.433,0 days 01:57:41.278000,0 days 01:58:05.410000,0 days 01:58:35.843000,243.0,281.0,277.0,305.0,True,HARD,12.0,True,Alpine,0 days 01:57:19.568000,2026-05-24 21:04:35.042,1,8.0,False,,False,True,76.245,76.245
81,0 days 01:59:52.032000,GAS,10,0 days 00:01:16.219000,43.0,2.0,,,21.763,24.209,30.247,0 days 01:58:57.606000,0 days 01:59:21.815000,0 days 01:59:52.062000,241.0,285.0,276.0,307.0,True,HARD,13.0,True,Alpine,0 days 01:58:35.813000,2026-05-24 21:05:51.287,1,8.0,False,,False,True,76.219,76.219
82,0 days 02:01:09.891000,GAS,10,0 days 00:01:17.859000,44.0,2.0,,,21.867,25.493,30.499,0 days 02:00:13.929000,0 days 02:00:39.422000,0 days 02:01:09.921000,242.0,293.0,283.0,311.0,False,HARD,14.0,True,Alpine,0 days 01:59:52.032000,2026-05-24 21:07:07.506,1,8.0,False,,False,True,77.859,77.859
83,0 days 02:02:43.371000,GAS,10,0 days 00:01:33.480000,45.0,2.0,,,22.172,33.697,37.611,0 days 02:01:32.093000,0 days 02:02:05.790000,0 days 02:02:43.401000,241.0,260.0,304.0,249.0,False,HARD,15.0,True,Alpine,0 days 02:01:09.891000,2026-05-24 21:08:25.365,167,8.0,False,,False,False,93.48,93.48
84,0 days 02:04:00.259000,GAS,10,0 days 00:01:16.888000,46.0,2.0,,,21.934,24.36,30.594,0 days 02:03:05.335000,0 days 02:03:29.695000,0 days 02:04:00.289000,242.0,283.0,280.0,306.0,False,HARD,16.0,True,Alpine,0 days 02:02:43.371000,2026-05-24 21:09:58.845,1,8.0,False,,False,True,76.888,76.888
85,0 days 02:05:18.625000,GAS,10,0 days 00:01:18.366000,47.0,2.0,,,21.807,24.167,32.392,0 days 02:04:22.096000,0 days 02:04:46.263000,0 days 02:05:18.655000,242.0,286.0,275.0,218.0,False,HARD,17.0,True,Alpine,0 days 02:04:00.259000,2026-05-24 21:11:15.733,1,8.0,False,,False,True,78.366,78.36600000000001
